path,bytes,sha256
.gitignore,228,4329de7588c8ffff6c1354ff749b062fc919b6d4b124a3a83cf2bf95b7fd0969
CHANGELOG.md,2473,fa4c8e29e3819d526980fc7b6744045a9e5d722ae2167a6a28a576ba34938d49
CITATION.cff,1855,631ca4a7bc37abe69b250c583f538151de948ad5755e812b805e0ce23c81dc17
CONTENIDO.txt,2805,686710045eaa7502987fe7cc42fb1ad36128d7c305cbb93c481fefe21ac0f4db
LICENSE,1072,141811caf2a5df0006b4dd9945eaeea4c5eede238ab6419d15aa25f91c8208a0
LICENSE-DATA.md,1788,0afb40678b71fb6292731bf2b43b400ef8885b0f8826d50497709755966680c5
README.md,3404,3e3463c915bea8b9e3b38c1152fa2f652f953660e8d7dbcf4ba39079e82ae0db
active/case_studies/distributive_justice/README.md,198,06df95ad47f3583053b0ad75ee8d3b9ca0eb886cfe0c464617edc04a67872a61
data/metadata/ola2_instrument_registry.csv,30650,9eb3e25d2a4d2636bced8201b675edc6fc381920cf0c0023689a8dadc318f695
data/metadata/ola2_three_option_registry.csv,1147,27aa16058c27c2785f5ec759231b623300c304f7d50abe1e245f25a512015a34
data/metadata/result_status_registry.csv,2076,bab460a73600e34ef39913c4eee485ab3f24b84f45627f4825a9235b816a9d38
data/raw/dse/dse_deepseek_v4pro_20260722_191602.csv,412162,048c3746415a2ed0d6e7427d98b01dd68abd0c8adddb93f1f422b884f5091a7f
data/raw/dse/dse_fable_20260723_120850.csv,417391,b6f63c54b1515039cff5a4fd8b80c63fc945b0bbc073a812a275c067dcb3e386
data/raw/dse/dse_glm_20260722_200751.csv,409628,ce4b26c6ec9b70610f6dd0d90f448c2631558bcd15cafdcb62cb271728543afe
data/raw/dse/dse_gpt_20260722_170514.csv,407851,3f39386b35b716306ccbb7cd8ff8090f59d6e40b30c0ea4bdb2078af6d16559e
data/raw/dse/dse_opus_20260722_141246.csv,419741,63828a7ff878564dd7a8304b57f13986dbcd60c8da4da3e3ff41c559c50c5c2c
data/raw/mfq/english/deepseek_reasoner.csv,282521,5ab28bd80eb43c2d242bc88106d7977236e6f3f1f31f17d0059a65c32ade0d9f
data/raw/mfq/english/fable.csv,384231,19a7c79bf03060b22cc66c80e9969d424ba5af36357da4c4b1ca69da82ef95bf
data/raw/mfq/english/glm.csv,339703,04b8f6468b92307d1c89a94718ec5dfcaff6e8db9e33efd7278c7588bd14fa83
data/raw/mfq/english/gpt.csv,581977,9ddddcccd8d0cca9daaa7947a0ce1cde997d834bb4878cfc34a5a8f0e31cead6
