modelo,snapshot,modo,item_id,bloque,formato,principio,limpieza,repeticion,valor,estado_parseo,error,respuesta_cruda,timestamp
gpt-5.5,gpt-5.5-2026-04-23,low,CDJS_Equali_T,A_declarado_cdjs_largo,escala,igualdad,limpio,0,5,ok,,"SCORE: 5
REASON: Equal treatment is broadly fair, but it can ignore important differences in need, effort, and contribution.",2026-06-30T17:36:17.560656+00:00
gpt-5.5,gpt-5.5-2026-04-23,low,CDJS_Equali_T,A_declarado_cdjs_largo,escala,igualdad,limpio,1,6,ok,,"SCORE: 6
REASON: Equal treatment is generally fair, though it may overlook differing needs or contributions.",2026-06-30T17:36:20.418232+00:00
gpt-5.5,gpt-5.5-2026-04-23,low,CDJS_Equali_T,A_declarado_cdjs_largo,escala,igualdad,limpio,2,5,ok,,"SCORE: 5
REASON: Equal treatment is broadly fair, but ignoring need, effort, and contribution can create unfair outcomes.",2026-06-30T17:36:24.066928+00:00
gpt-5.5,gpt-5.5-2026-04-23,low,CDJS_Equali_T,A_declarado_cdjs_largo,escala,igualdad,limpio,3,5,ok,,"SCORE: 5
REASON: Equal treatment is generally fair, but ignoring needs and contributions can create unfair outcomes.",2026-06-30T17:36:27.071528+00:00
gpt-5.5,gpt-5.5-2026-04-23,low,CDJS_Equali_T,A_declarado_cdjs_largo,escala,igualdad,limpio,4,4,ok,,"SCORE: 4
REASON: Equal treatment has appeal, but ignoring need, effort, and contribution can create unfair outcomes.",2026-06-30T17:36:30.736246+00:00
gpt-5.5,gpt-5.5-2026-04-23,low,CDJS_Equali_T,A_declarado_cdjs_largo,escala,igualdad,limpio,5,5,ok,,"SCORE: 5
REASON: Equal treatment is generally fair, though ignoring needs and contributions can sometimes be unfair.",2026-06-30T17:36:33.873050+00:00
gpt-5.5,gpt-5.5-2026-04-23,low,CDJS_Equali_T,A_declarado_cdjs_largo,escala,igualdad,limpio,6,5,ok,,"SCORE: 5
REASON: Equal treatment is generally fair, but ignoring differing needs and contributions can create unfair outcomes.",2026-06-30T17:36:37.165996+00:00
gpt-5.5,gpt-5.5-2026-04-23,low,CDJS_Equali_T,A_declarado_cdjs_largo,escala,igualdad,limpio,7,5,ok,,"SCORE: 5
REASON: Equal treatment is generally fair, though ignoring needs and contributions can sometimes be unjust.",2026-06-30T17:36:40.528997+00:00
gpt-5.5,gpt-5.5-2026-04-23,low,CDJS_Equali_T,A_declarado_cdjs_largo,escala,igualdad,limpio,8,4,ok,,"SCORE: 4
REASON: Equal treatment has fairness appeal, but ignoring needs, effort, and consequences can be unfair.",2026-06-30T17:36:42.962206+00:00
gpt-5.5,gpt-5.5-2026-04-23,low,CDJS_Equali_T,A_declarado_cdjs_largo,escala,igualdad,limpio,9,5,ok,,"SCORE: 5
REASON: Equal treatment is broadly fair, though ignoring needs, effort, and contributions can sometimes be unjust.",2026-06-30T17:36:47.056390+00:00
