configuration,situation,model_pct,model_ci_lo,model_ci_hi,reported_reference_min,reported_reference_max,reported_point_estimates,reported_samples,point_position,model_ci_below_all_reported_point_estimates,model_ci_above_all_reported_point_estimates,model_ci_intersects_point_estimate_span,gap_from_model_ci_to_nearest_reported_estimate,human_uncertainty_included,interpretation_limit
deepseek-v4-pro,trabajo,0.0,0.0,0.0,15.0,30.0,6,2,below,True,False,False,15.0,False,Selected published aggregate point estimates; not an individual-level population range and not a human confidence interval.
deepseek-v4-pro,familia,3.135,0.0,9.434,46.0,74.0,6,3,below,True,False,False,36.566,False,Selected published aggregate point estimates; not an individual-level population range and not a human confidence interval.
claude-fable-5,trabajo,0.556,0.0,1.253,15.0,30.0,6,2,below,True,False,False,13.747,False,Selected published aggregate point estimates; not an individual-level population range and not a human confidence interval.
claude-fable-5,familia,4.688,0.0,12.5,46.0,74.0,6,3,below,True,False,False,33.5,False,Selected published aggregate point estimates; not an individual-level population range and not a human confidence interval.
glm-5.2,trabajo,0.417,0.0,1.253,15.0,30.0,6,2,below,True,False,False,13.747,False,Selected published aggregate point estimates; not an individual-level population range and not a human confidence interval.
glm-5.2,familia,5.346,0.94,12.226,46.0,74.0,6,3,below,True,False,False,33.774,False,Selected published aggregate point estimates; not an individual-level population range and not a human confidence interval.
gpt-5.5,trabajo,1.667,0.139,4.028,15.0,30.0,6,2,below,True,False,False,10.972,False,Selected published aggregate point estimates; not an individual-level population range and not a human confidence interval.
gpt-5.5,familia,1.25,0.0,3.75,46.0,74.0,6,3,below,True,False,False,42.25,False,Selected published aggregate point estimates; not an individual-level population range and not a human confidence interval.
claude-opus-4-8,trabajo,8.484,4.312,13.37,15.0,30.0,6,2,below,True,False,False,1.63,False,Selected published aggregate point estimates; not an individual-level population range and not a human confidence interval.
claude-opus-4-8,familia,14.107,6.25,23.751,46.0,74.0,6,3,below,True,False,False,22.249,False,Selected published aggregate point estimates; not an individual-level population range and not a human confidence interval.
