label,configuration,instrument,generation_rows,task_clusters,repetitions_per_cluster_mean,icc_diagnostic,design_effect_diagnostic,model_based_effective_n_diagnostic,deterministic_clusters,deterministic_share,interpretation_limit
Opus 4.8,claude-opus-4-8,ola2_scale,570,57,10.0,0.9449,9.5,60.0,37,0.6491,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
GPT 5.5 — low reasoning,gpt-5.5 | reasoning=low,ola2_scale,570,57,10.0,0.9012,9.11,62.6,15,0.2632,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
GPT 5.5 — high reasoning,gpt-5.5 | reasoning=high,ola2_scale,570,57,10.0,0.9246,9.32,61.1,14,0.2456,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
DeepSeek Reasoner,deepseek-reasoner | thinking,ola2_scale,569,57,9.98,0.8787,8.89,64.0,2,0.0351,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,ola2_scale,561,57,9.84,0.8474,8.49,66.1,2,0.0351,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,ola2_scale,570,57,10.0,0.9262,9.34,61.1,29,0.5088,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
Opus 4.8,opus-4.8,mfq2_canonical_variant,360,36,10.0,0.9274,9.35,38.5,11,0.3056,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
GPT 5.5 — low reasoning,gpt-5.5 | reasoning=low,mfq2_canonical_variant,360,36,10.0,0.939,9.45,38.1,15,0.4167,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
GPT 5.5 — high reasoning,gpt-5.5 | reasoning=high,mfq2_canonical_variant,360,36,10.0,0.9343,9.41,38.3,10,0.2778,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
DeepSeek Reasoner,deepseek-reasoner | thinking,mfq2_canonical_variant,342,36,9.5,0.7365,7.26,47.1,1,0.0278,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,mfq2_canonical_variant,355,36,9.86,0.7341,7.51,47.3,1,0.0278,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,mfq2_canonical_variant,360,36,10.0,0.9531,9.58,37.6,21,0.5833,"Effective n is a variance-components diagnostic, not a participant count or substitute for task-cluster count."
