label,family,configuration,language,variant,foundation,mean_score,z_within_profile,evidence_status
Opus 4.8,Claude Opus,opus-4.8,English,lente_A,Care,4.35,1.773232,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_A,Equality,2.216667,-0.989125,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_A,Proportionality,3.533333,0.715767,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_A,Loyalty,2.833333,-0.190631,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_A,Authority,2.85,-0.169051,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_A,Purity,2.1,-1.140192,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,canonica,Care,5.9,1.345222,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,canonica,Equality,3.666667,-0.506762,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,canonica,Proportionality,5.65,1.137911,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,canonica,Loyalty,3.85,-0.354733,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,canonica,Authority,4.233333,-0.036855,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,canonica,Purity,2.366667,-1.584782,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_B,Care,6.016667,1.647415,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_B,Equality,3.133333,-0.70798,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_B,Proportionality,5.15,0.939435,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_B,Loyalty,3.433333,-0.46291,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_B,Authority,3.85,-0.122535,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_B,Purity,2.416667,-1.293425,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_C,Care,4.0,1.409444,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_C,Equality,2.683333,-0.4885,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_C,Proportionality,3.816667,1.145173,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_C,Loyalty,2.833333,-0.272279,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_C,Authority,2.833333,-0.272279,exploratory; MFQ collection provenance incomplete
Opus 4.8,Claude Opus,opus-4.8,English,lente_C,Purity,1.966667,-1.521559,exploratory; MFQ collection provenance incomplete
GPT 5.5 — low reasoning,GPT,gpt-5.5 | reasoning=low,English,lente_A,Care,4.833333,1.445875,exploratory; MFQ collection provenance incomplete
GPT 5.5 — low reasoning,GPT,gpt-5.5 | reasoning=low,English,lente_A,Equality,2.833333,-0.750391,exploratory; MFQ collection provenance incomplete
GPT 5.5 — low reasoning,GPT,gpt-5.5 | reasoning=low,English,lente_A,Proportionality,4.2,0.750391,exploratory; MFQ collection provenance incomplete
GPT 5.5 — low reasoning,GPT,gpt-5.5 | reasoning=low,English,lente_A,Loyalty,3.383333,-0.146418,exploratory; MFQ collection provenance incomplete
GPT 5.5 — low reasoning,GPT,gpt-5.5 | reasoning=low,English,lente_A,Authority,3.816667,0.32944,exploratory; MFQ collection provenance incomplete
GPT 5.5 — low reasoning,GPT,gpt-5.5 | reasoning=low,English,lente_A,Purity,2.033333,-1.628897,exploratory; MFQ collection provenance incomplete
