item_id,block,domain,scenario_label_es,format,principle,cleanliness_flag,proportional_option,equality_option,source_author,source_year,source_study,source_table,source_doi,adaptation_status,administered_text_sha256,public_text_status
CDJS_Equali_T,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,igualdad,limpio,,7 (very fair),"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,880ab602b6ae23bb592154af181ea1a11a522d2d7e62daf807879a3ce1be9792,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Equali_G,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,igualdad,limpio,,7 (very fair),"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,009a557785df3aa30a13d92e7e002df11aeb913f7b2f2f26b899bee9420c3d2f,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Equali_W,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,igualdad,limpio,,7 (very fair),"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,1672f4d162e0970178e62849204633225c5bc50de78969a36c165562f5032075,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Equali_S,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,igualdad,limpio,,7 (very fair),"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,085fbfc19d8bc83ebc0b6d255c262021cbd87f4efa7ac17651e4e8191ddfbfb0,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Utilit_T,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,bienestar_utilitario,control_o_aparte,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,13739174a3c06df76e886db60708b46b49f2e1c914b0b9750f700eb5a3575f47,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Utilit_G,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,bienestar_utilitario,control_o_aparte,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,ef74ffb09bd0be7af8bea7ab3b3182a493966dbdac4151de9d27a36171cf7e4f,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Utilit_W,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,bienestar_utilitario,control_o_aparte,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,46f640b668c30a95be166f3f50ab751dd13897a27db31f0cdc7522d9c5e2f29d,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Utilit_S,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,bienestar_utilitario,control_o_aparte,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,fb50fcd81a56f996411982f957bffac04b8afdb8912d9bc82710ed9240f2433c,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Libert_T,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,libertario,control_o_aparte,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,bd0c295b00eb5f15e2e1fb5d4dc639698b36eebd8aa880e2ac9c0af95376b3bb,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Libert_G,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,libertario,control_o_aparte,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,fa995ca9f6d57545e8946998632062036327651fed60fb39cbb3c8ba95556b00,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Libert_W,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,libertario,control_o_aparte,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,49e035578a581c1b3b77c4d69313258f12db6e8475343794bdd9d362cfafeea7,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Libert_S,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,libertario,control_o_aparte,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,0676a3396b0d08617b6171083c2bdb6dee1e8bac44570a5895dbeab3dc40220b,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Person_T,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,necesidad_personal,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,a656f2953e7b7292ce6a60b9327ce3dc61e67373edb2520949d357f47be0cc78,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Person_G,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,necesidad_personal,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,c92ea3650a23ef0222583e66f8c42a6cfa9c0d5608ed8dc54bbb62ac1ea540d5,OMITTED — obtain the original article/supplement; no redistribution permission was available.
