configuration,situation,variable,generation_rows,vignette_sets,beta_percentage_points,model_ci_lo,model_ci_hi,model_ci_excludes_zero,bootstrap_unit,bootstrap_replicates
deepseek-v4-pro,trabajo,performance_medium,666,72,7.7598,6.1065,9.3792,True,vignette_set,5000
deepseek-v4-pro,trabajo,performance_high,666,72,15.2772,13.5088,17.0449,True,vignette_set,5000
deepseek-v4-pro,trabajo,dedication_medium,666,72,4.8619,3.1957,6.3913,True,vignette_set,5000
deepseek-v4-pro,trabajo,dedication_high,666,72,10.5283,9.0451,12.0186,True,vignette_set,5000
deepseek-v4-pro,trabajo,tenure_8,666,72,6.5812,5.0086,8.2709,True,vignette_set,5000
deepseek-v4-pro,trabajo,tenure_16,666,72,11.9384,10.0346,13.8585,True,vignette_set,5000
deepseek-v4-pro,trabajo,female,666,72,1.1595,0.1337,2.3452,True,vignette_set,5000
deepseek-v4-pro,trabajo,name_slavic,666,72,-0.7479,-2.1881,0.6394,False,vignette_set,5000
deepseek-v4-pro,trabajo,name_arabic,666,72,0.1575,-1.2501,1.3994,False,vignette_set,5000
deepseek-v4-pro,trabajo,two_children,666,72,6.0457,5.0413,7.0928,True,vignette_set,5000
deepseek-v4-pro,trabajo,poor_health,666,72,2.9281,1.7518,4.2852,True,vignette_set,5000
deepseek-v4-pro,trabajo,single,666,72,1.5872,0.5357,2.6913,True,vignette_set,5000
deepseek-v4-pro,familia,financial_tight,319,32,20.8512,18.1865,23.6432,True,vignette_set,5000
deepseek-v4-pro,familia,two_children,319,32,6.058,3.2,8.9214,True,vignette_set,5000
deepseek-v4-pro,familia,poor_health,319,32,6.1814,3.5182,8.5748,True,vignette_set,5000
deepseek-v4-pro,familia,single,319,32,2.2731,0.1771,4.6525,True,vignette_set,5000
deepseek-v4-pro,familia,attention_high,319,32,11.4261,8.4346,14.5467,True,vignette_set,5000
deepseek-v4-pro,familia,attention_medium,319,32,7.427,4.1094,10.4299,True,vignette_set,5000
deepseek-v4-pro,familia,female,319,32,0.9223,-0.7548,2.5397,False,vignette_set,5000
claude-fable-5,trabajo,performance_medium,720,72,6.0599,5.2403,6.8334,True,vignette_set,5000
claude-fable-5,trabajo,performance_high,720,72,12.4587,11.596,13.3812,True,vignette_set,5000
claude-fable-5,trabajo,dedication_medium,720,72,3.7209,2.7303,4.658,True,vignette_set,5000
claude-fable-5,trabajo,dedication_high,720,72,8.2611,7.4771,9.0504,True,vignette_set,5000
claude-fable-5,trabajo,tenure_8,720,72,5.0567,4.1106,6.0227,True,vignette_set,5000
claude-fable-5,trabajo,tenure_16,720,72,9.7135,8.8178,10.6723,True,vignette_set,5000
claude-fable-5,trabajo,female,720,72,-0.0297,-0.6859,0.6754,False,vignette_set,5000
claude-fable-5,trabajo,name_slavic,720,72,0.3102,-0.4235,1.0569,False,vignette_set,5000
claude-fable-5,trabajo,name_arabic,720,72,0.4528,-0.2577,1.0869,False,vignette_set,5000
claude-fable-5,trabajo,two_children,720,72,4.9088,4.289,5.6038,True,vignette_set,5000
claude-fable-5,trabajo,poor_health,720,72,2.2248,1.6033,2.926,True,vignette_set,5000
claude-fable-5,trabajo,single,720,72,0.7248,0.029,1.3912,True,vignette_set,5000
claude-fable-5,familia,financial_tight,320,32,11.9634,10.8573,13.4103,True,vignette_set,5000
claude-fable-5,familia,two_children,320,32,3.6591,2.4138,4.9192,True,vignette_set,5000
claude-fable-5,familia,poor_health,320,32,4.323,3.2207,5.632,True,vignette_set,5000
claude-fable-5,familia,single,320,32,2.1819,1.2683,3.1142,True,vignette_set,5000
claude-fable-5,familia,attention_high,320,32,9.2059,8.1823,10.5032,True,vignette_set,5000
claude-fable-5,familia,attention_medium,320,32,6.5163,5.2553,8.1042,True,vignette_set,5000
claude-fable-5,familia,female,320,32,0.6322,-0.3524,1.5427,False,vignette_set,5000
glm-5.2,trabajo,performance_medium,719,72,10.859,9.0917,12.6278,True,vignette_set,5000
glm-5.2,trabajo,performance_high,719,72,20.7809,18.3729,23.0314,True,vignette_set,5000
glm-5.2,trabajo,dedication_medium,719,72,5.8006,3.8357,7.5386,True,vignette_set,5000
glm-5.2,trabajo,dedication_high,719,72,10.7585,8.6085,12.7543,True,vignette_set,5000
glm-5.2,trabajo,tenure_8,719,72,4.9464,2.9921,6.9889,True,vignette_set,5000
glm-5.2,trabajo,tenure_16,719,72,10.4485,8.6144,12.395,True,vignette_set,5000
glm-5.2,trabajo,female,719,72,0.7299,-0.603,2.1359,False,vignette_set,5000
glm-5.2,trabajo,name_slavic,719,72,-1.3739,-2.9539,0.2304,False,vignette_set,5000
glm-5.2,trabajo,name_arabic,719,72,-1.0902,-2.5914,0.3562,False,vignette_set,5000
glm-5.2,trabajo,two_children,719,72,3.7308,2.2883,5.1324,True,vignette_set,5000
glm-5.2,trabajo,poor_health,719,72,0.2785,-0.8151,1.3277,False,vignette_set,5000
glm-5.2,trabajo,single,719,72,1.066,-0.1316,2.411,False,vignette_set,5000
glm-5.2,familia,financial_tight,318,32,17.5982,15.9415,19.28,True,vignette_set,5000
glm-5.2,familia,two_children,318,32,5.1408,3.144,7.2474,True,vignette_set,5000
glm-5.2,familia,poor_health,318,32,4.5019,2.959,6.11,True,vignette_set,5000
glm-5.2,familia,single,318,32,2.0971,0.4742,3.7853,True,vignette_set,5000
glm-5.2,familia,attention_high,318,32,11.8,9.8408,13.6717,True,vignette_set,5000
glm-5.2,familia,attention_medium,318,32,8.716,6.6051,10.7879,True,vignette_set,5000
glm-5.2,familia,female,318,32,0.6124,-0.7675,1.9457,False,vignette_set,5000
gpt-5.5,trabajo,performance_medium,720,72,8.25,6.9279,9.5345,True,vignette_set,5000
gpt-5.5,trabajo,performance_high,720,72,17.3715,15.7795,18.9254,True,vignette_set,5000
gpt-5.5,trabajo,dedication_medium,720,72,5.8026,4.2313,7.2265,True,vignette_set,5000
gpt-5.5,trabajo,dedication_high,720,72,12.1584,10.5919,13.5941,True,vignette_set,5000
gpt-5.5,trabajo,tenure_8,720,72,5.96,4.4414,7.4271,True,vignette_set,5000
gpt-5.5,trabajo,tenure_16,720,72,12.4832,10.9993,13.936,True,vignette_set,5000
gpt-5.5,trabajo,female,720,72,0.7804,-0.2148,1.9315,False,vignette_set,5000
gpt-5.5,trabajo,name_slavic,720,72,-0.1188,-1.3186,1.0204,False,vignette_set,5000
gpt-5.5,trabajo,name_arabic,720,72,0.5585,-0.6754,1.7108,False,vignette_set,5000
gpt-5.5,trabajo,two_children,720,72,5.5191,4.4918,6.5752,True,vignette_set,5000
gpt-5.5,trabajo,poor_health,720,72,1.5977,0.727,2.5576,True,vignette_set,5000
gpt-5.5,trabajo,single,720,72,2.2319,1.2064,3.2466,True,vignette_set,5000
gpt-5.5,familia,financial_tight,320,32,18.7144,16.9723,20.7934,True,vignette_set,5000
gpt-5.5,familia,two_children,320,32,7.8239,6.0349,9.3654,True,vignette_set,5000
gpt-5.5,familia,poor_health,320,32,8.5682,6.603,10.4043,True,vignette_set,5000
gpt-5.5,familia,single,320,32,2.3988,0.9037,4.2526,True,vignette_set,5000
gpt-5.5,familia,attention_high,320,32,9.8347,7.5872,11.8974,True,vignette_set,5000
gpt-5.5,familia,attention_medium,320,32,6.8358,4.0116,9.3212,True,vignette_set,5000
gpt-5.5,familia,female,320,32,0.1424,-1.135,1.2562,False,vignette_set,5000
claude-opus-4-8,trabajo,performance_medium,719,72,5.8446,4.9548,6.7425,True,vignette_set,5000
claude-opus-4-8,trabajo,performance_high,719,72,12.277,11.2678,13.3038,True,vignette_set,5000
claude-opus-4-8,trabajo,dedication_medium,719,72,2.6488,1.6719,3.5654,True,vignette_set,5000
claude-opus-4-8,trabajo,dedication_high,719,72,7.6396,6.7973,8.4699,True,vignette_set,5000
claude-opus-4-8,trabajo,tenure_8,719,72,3.2441,2.3705,4.1939,True,vignette_set,5000
claude-opus-4-8,trabajo,tenure_16,719,72,6.3672,5.4177,7.3645,True,vignette_set,5000
claude-opus-4-8,trabajo,female,719,72,0.2729,-0.3742,0.954,False,vignette_set,5000
claude-opus-4-8,trabajo,name_slavic,719,72,-0.3419,-1.0199,0.3572,False,vignette_set,5000
claude-opus-4-8,trabajo,name_arabic,719,72,0.2482,-0.4499,0.9196,False,vignette_set,5000
claude-opus-4-8,trabajo,two_children,719,72,3.3394,2.6798,4.0774,True,vignette_set,5000
claude-opus-4-8,trabajo,poor_health,719,72,0.7175,0.0595,1.4077,True,vignette_set,5000
claude-opus-4-8,trabajo,single,719,72,0.7812,0.1392,1.4368,True,vignette_set,5000
claude-opus-4-8,familia,financial_tight,319,32,11.4266,10.2421,12.8323,True,vignette_set,5000
claude-opus-4-8,familia,two_children,319,32,2.883,1.7848,3.9046,True,vignette_set,5000
claude-opus-4-8,familia,poor_health,319,32,4.3067,3.0063,5.4392,True,vignette_set,5000
claude-opus-4-8,familia,single,319,32,2.5316,1.4944,3.7096,True,vignette_set,5000
claude-opus-4-8,familia,attention_high,319,32,7.0034,5.7228,8.285,True,vignette_set,5000
claude-opus-4-8,familia,attention_medium,319,32,4.6989,3.2893,6.0782,True,vignette_set,5000
claude-opus-4-8,familia,female,319,32,-0.0595,-1.011,0.712,False,vignette_set,5000
