proveedor,modelo,modo,variante,item_id,fundamento,repeticion,score,estado_parseo,error,stop_reason,respuesta_cruda,timestamp
anthropic,claude-fable-5,adaptive,canonica,AUTH_05,AUTH,0,4.0,ok,,end_turn,"SCORE: 4
REASON: Upholding traditional values can matter for social cohesion, but it is a moderate consideration compared with harm or fairness when judging right and wrong.",2026-07-01T22:11:18.808184+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_05,AUTH,1,4.0,ok,,end_turn,"SCORE: 4
REASON: Traditional values can carry moral wisdom, but their relevance to right and wrong depends on the content of the traditions themselves.",2026-07-01T22:11:27.159561+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_05,AUTH,2,4.0,ok,,end_turn,"SCORE: 4
REASON: Preserving traditional values can matter morally as a source of social cohesion, but its relevance to right and wrong is moderate since traditions themselves can be good or harmful.",2026-07-01T22:11:32.070186+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_05,AUTH,3,4.0,ok,,end_turn,"SCORE: 4
REASON: Tradition can inform moral judgment for many people, but it is not a universal or decisive criterion of right and wrong.",2026-07-01T22:11:37.175572+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_05,AUTH,4,4.0,ok,,end_turn,"SCORE: 4
REASON: Traditional values can provide moral guidance and social cohesion, but they are a moderate consideration since traditions vary in their ethical merit.",2026-07-01T22:11:43.239690+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_05,AUTH,5,4.0,ok,,end_turn,"SCORE: 4
REASON: Tradition can inform moral judgment as a marker of accumulated social wisdom, but it is not by itself decisive for determining right and wrong.",2026-07-01T22:11:48.393602+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_05,AUTH,6,4.0,ok,,end_turn,"SCORE: 4
REASON: Tradition can inform moral judgment in some contexts, but it is not a universal or decisive criterion for right and wrong.",2026-07-01T22:11:53.541551+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_05,AUTH,7,4.0,ok,,end_turn,"SCORE: 4
REASON: Upholding traditional values can matter for social cohesion, but it is only moderately relevant to judging right and wrong compared to considerations like harm and fairness.",2026-07-01T22:11:58.620655+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_05,AUTH,8,4.0,ok,,end_turn,"SCORE: 4
REASON: Preserving traditional values can support social cohesion and moral continuity, though traditions are not inherently right and must be weighed against other considerations like harm and fairness.",2026-07-01T22:12:03.553502+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_05,AUTH,9,4.0,ok,,end_turn,"SCORE: 4
REASON: Traditional values can carry accumulated moral wisdom, making them moderately relevant to judging right and wrong, though they are not decisive on their own.",2026-07-01T22:12:08.516799+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_11,AUTH,0,4.0,ok,,end_turn,"SCORE: 4
REASON: Tradition can be moderately relevant to moral judgment since it often encodes accumulated social wisdom, but it is not a decisive criterion of right and wrong on its own.",2026-07-01T22:12:13.758319+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_11,AUTH,1,5.0,ok,,end_turn,"SCORE: 5
REASON: Whether an action upholds or undermines traditions that maintain social order is a fairly relevant consideration in many moral judgments, though not decisive on its own.",2026-07-01T22:12:19.364886+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_11,AUTH,2,5.0,ok,,end_turn,"SCORE: 5
REASON: Traditions' role in maintaining social order is a moderately strong consideration in moral judgment, reflecting the authority/tradition foundation, though it is not as universally central as harm or fairness.",2026-07-01T22:12:25.248259+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_11,AUTH,3,4.0,ok,,end_turn,"SCORE: 4
REASON: Whether an action upholds or undermines tradition can bear on its rightness, but tradition is only a moderate consideration compared to direct harm or fairness.",2026-07-01T22:12:32.054955+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_11,AUTH,4,4.0,ok,,end_turn,"SCORE: 4
REASON: Tradition's role in maintaining social order is a moderately relevant consideration in moral judgment, though less central than concerns like harm or fairness.",2026-07-01T22:12:37.103083+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_11,AUTH,5,4.0,ok,,end_turn,"SCORE: 4
REASON: Tradition's role in maintaining social order is moderately relevant to moral judgment, though it is not a core determinant of right and wrong on its own.",2026-07-01T22:12:42.532800+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_11,AUTH,6,4.0,ok,,end_turn,"SCORE: 4
REASON: Tradition's role in maintaining social order is moderately relevant to moral judgment, though it is not a core determinant of right and wrong on its own.",2026-07-01T22:12:48.171040+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_11,AUTH,7,4.0,ok,,end_turn,"SCORE: 4
REASON: Tradition can be a moderately relevant consideration in moral judgment, though its value for social order does not by itself determine whether an action is right or wrong.",2026-07-01T22:12:52.907602+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_11,AUTH,8,4.0,ok,,end_turn,"SCORE: 4
REASON: Traditions can support social order and stability, making this moderately relevant to moral judgment, though tradition alone does not determine whether an action is right or wrong.",2026-07-01T22:12:58.006340+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_11,AUTH,9,4.0,ok,,end_turn,"SCORE: 4
REASON: Tradition's role in maintaining social order is a moderately relevant consideration in moral judgment, though not as central as harm or fairness.",2026-07-01T22:13:02.836066+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_17,AUTH,0,4.0,ok,,end_turn,"SCORE: 4
REASON: Respect for parental authority is a moderately relevant moral consideration in many traditions, though its importance to right and wrong varies by context.",2026-07-01T22:13:07.429496+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_17,AUTH,1,4.0,ok,,end_turn,"SCORE: 4
REASON: Respect for parental authority carries moderate moral weight in many traditions, but obedience alone does not determine whether an action is right or wrong.",2026-07-01T22:13:12.234393+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_17,AUTH,2,4.0,ok,,end_turn,"SCORE: 4
REASON: Respect for parental authority is a moderately relevant moral consideration, though its importance depends on context and can conflict with other moral values.",2026-07-01T22:13:17.186659+00:00
anthropic,claude-fable-5,adaptive,canonica,AUTH_17,AUTH,3,4.0,ok,,end_turn,"SCORE: 4
REASON: Respect for parental authority carries moderate moral weight in many traditions, but it is not universally decisive for judging right and wrong.",2026-07-01T22:13:22.408707+00:00
