caso,color,zh,lo,md,hi,lo_sinCare,md_sinCare,hi_sinCare
Opus o en,opus,False,0.9434202186192157,0.947383320469626,0.952230810892826,0.8493191337752247,0.8582570989694018,0.871247518130867
Opus * zh,opus,True,0.9569997980269483,0.9620289123195408,0.9671011006237947,0.907080088130646,0.9201898180816521,0.9339779282570552
GPT o en,gpt,False,0.9463432307172459,0.9542104420678915,0.9613899850351394,0.9257245673375698,0.9397942217640529,0.9515675710856611
GPT * zh,gpt,True,0.9570237652619753,0.9622102505332817,0.9675087559249766,0.9076327192902243,0.9206679278275585,0.9351225214239123
Fable o en,fable,False,0.933113959250142,0.9415799590900762,0.9491703373116372,0.8869385762816305,0.9026552429192285,0.9165200927192266
Fable * zh,fable,True,0.9100850467003436,0.9351616730025605,0.9559808197866846,0.9576028319123515,0.9752075132266073,0.9870601596829316
DeepSeek o en,deepseek,False,0.8585105480738965,0.8989171683846352,0.9301694381708457,0.8463932226280765,0.8943953633467334,0.9308759129161703
DeepSeek * zh,deepseek,True,0.83143459269276,0.8647114655378132,0.8958911145527811,0.8129006481657577,0.8554152122061061,0.8949232343734321
GLM o en,glm,False,0.8921059796918543,0.9155579148247344,0.9363921672382148,0.7872286129119139,0.8333204370083434,0.8734145387497744
GLM * zh,glm,True,0.9112649997633916,0.9354943228141358,0.9558035817948195,0.9586304263530161,0.9753005204070091,0.9877398000744257
