label,configuration,foundation,reported_national_mean_z_min,reported_national_mean_z_max,national_means_in_reference_frame,variants_tested,variants_within,variants_above,variants_below,position_verdict,stable_across_variants,human_reference_level,human_reference_provenance,interpretation_limit
Opus 4.8,opus-4.8,Care,0.440213,1.375266,19,4,1,3,0,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
Opus 4.8,opus-4.8,Equality,-2.149232,-0.738593,19,4,1,3,0,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
Opus 4.8,opus-4.8,Proportionality,0.084441,1.496595,19,4,4,0,0,within,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
Opus 4.8,opus-4.8,Loyalty,-0.257103,0.805364,19,4,1,0,3,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
Opus 4.8,opus-4.8,Authority,-0.222044,0.953176,19,4,3,0,1,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
Opus 4.8,opus-4.8,Purity,-1.690337,0.022686,19,4,4,0,0,within,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GPT 5.5 — low reasoning,gpt-5.5 | reasoning=low,Care,0.440213,1.375266,19,4,0,4,0,above,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GPT 5.5 — low reasoning,gpt-5.5 | reasoning=low,Equality,-2.149232,-0.738593,19,4,1,3,0,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GPT 5.5 — low reasoning,gpt-5.5 | reasoning=low,Proportionality,0.084441,1.496595,19,4,4,0,0,within,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GPT 5.5 — low reasoning,gpt-5.5 | reasoning=low,Loyalty,-0.257103,0.805364,19,4,2,0,2,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
