source_id,source_title,doi,page,figure_table,sample,situation,subgroup,record_type,estimate,unit,reported_or_derived,public_use,notes
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,111,Figure 4.5 and accompanying text,Swiss general population,inheritance/family,overall,exact_equal_split_rate,approximately 60,percent,reported in text,qualified only,The same book later reports 74% for women and 68% for men in Figure 4.9. The two presentations are not numerically reconcilable from the published text alone; do not treat 60% as an exact point estimate.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,117,Figure 4.9,Swiss general population,inheritance/family,women,exact_equal_split_rate,74,percent,reported,"yes, subgroup only",Gender-specific value reported by the book.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,117,Figure 4.9,Swiss general population,inheritance/family,men,exact_equal_split_rate,68,percent,reported,"yes, subgroup only",Gender-specific value reported by the book.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,111,Figure 4.5 and accompanying text,Swiss general population,inheritance/family,all respondents,attribute_effect,3,percentage points of allocated share,reported,yes,Two children versus no children.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,111,Figure 4.5 and accompanying text,Swiss general population,inheritance/family,all respondents,attribute_effect,2,percentage points of allocated share,reported,yes,Poor health versus good health.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,111,Figure 4.5 and accompanying text,Swiss general population,inheritance/family,all respondents,attribute_effect,1,percentage points of allocated share,reported,yes,Financial troubles versus easy financial situation.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,111,Figure 4.5 and accompanying text,Swiss general population,inheritance/family,all respondents,attribute_effect,5,percentage points of allocated share,reported,yes,Mostly attentive and helpful versus not very attentive/helpful.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,111,Figure 4.5 and accompanying text,Swiss general population,inheritance/family,all respondents,attribute_effect,6,percentage points of allocated share,reported,yes,Very attentive and helpful versus not very attentive/helpful.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,134,Figure 4.21 and accompanying text,University of Bern students,work/bonus,"overall, both genders",exact_equal_split_rate,29,percent,reported; average not shown in figure,yes,Overall rate explicitly stated in the text.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,134,Figure 4.21 and accompanying text,Princeton University students,work/bonus,"overall, both genders",exact_equal_split_rate,17,percent,reported; average not shown in figure,yes,Overall rate explicitly stated in the text.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,134,Figure 4.21,University of Bern students,work/bonus,women,exact_equal_split_rate,30,percent,reported,yes,
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,134,Figure 4.21,University of Bern students,work/bonus,men,exact_equal_split_rate,26,percent,reported,yes,
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,134,Figure 4.21,Princeton University students,work/bonus,women,exact_equal_split_rate,18,percent,reported,yes,
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,134,Figure 4.21,Princeton University students,work/bonus,men,exact_equal_split_rate,15,percent,reported,yes,
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,135,Figure 4.22,University of Bern students,inheritance/family,women,exact_equal_split_rate,73,percent,reported,"yes, subgroup only",The book does not report a combined Bern family percentage.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,135,Figure 4.22,University of Bern students,inheritance/family,men,exact_equal_split_rate,62,percent,reported,"yes, subgroup only",The book does not report a combined Bern family percentage.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,135,Figure 4.22,Princeton University students,inheritance/family,women,exact_equal_split_rate,59,percent,reported,"yes, subgroup only",The book does not report a combined Princeton family percentage.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,135,Figure 4.22,Princeton University students,inheritance/family,men,exact_equal_split_rate,46,percent,reported,"yes, subgroup only",The book does not report a combined Princeton family percentage.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,126,Table 4.2,University of Bern students,all DSEs,analytic sample,sample_composition,N=888; female=.636; male=.347; other=.0169,count and proportions,reported,context only,Do not use these rounded proportions to manufacture an overall family equal-split percentage.
gilgen2022,"Disentangling Justice: Needs, Equality or Merit? On the Situation-Dependency of Distributive Justice",10.5771/9783748926955,126,Table 4.2,Princeton University students,all DSEs,analytic sample,sample_composition,N=288; female=.427; male=.563; other=.0104,count and proportions,reported,context only,Do not use these rounded proportions to manufacture an overall family equal-split percentage.
